"date","location","value","variable_short","variable_long"
2017-01-17,"BE",1,"konk_eroeff_noga_N","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"BE",1,"konk_eroeff_noga_G","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"BE",1,"konk_eroeff_noga_C","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"GR",1,"konk_eroeff_noga_I","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"LU",1,"konk_eroeff_noga_C","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"SO",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"SZ",1,"konk_eroeff_noga_J","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"TI",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"VD",1,"konk_eroeff_noga_C","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"VS",1,"konk_eroeff_noga_G","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"ZG",3,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"ZG",4,"konk_eroeff_noga_K","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"ZG",2,"konk_eroeff_noga_G","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"ZG",1,"konk_eroeff_noga_J","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"ZH",3,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"ZH",3,"konk_eroeff_noga_M","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"ZH",1,"konk_eroeff_noga_S","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"ZH",1,"konk_eroeff_noga_I","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"ZH",2,"konk_eroeff_noga_J","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-17,"ZH",1,"konk_eroeff_noga_E","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"AG",2,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"AG",1,"konk_eroeff_noga_M","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"BE",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"BE",1,"konk_eroeff_noga_I","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"BL",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"FR",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"GR",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"JU",1,"konk_eroeff_noga_I","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"JU",1,"konk_eroeff_noga_C","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"NE",1,"konk_eroeff_noga_M","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"NE",1,"konk_eroeff_noga_I","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"NE",1,"konk_eroeff_noga_G","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"SG",1,"konk_eroeff_noga_N","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"SH",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"SZ",1,"konk_eroeff_noga_I","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"TI",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"VD",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"VD",1,"konk_eroeff_noga_S","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"VD",4,"konk_eroeff_noga_G","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"VS",1,"konk_eroeff_noga_I","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"VS",1,"konk_eroeff_noga_J","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-18,"ZG",1,"konk_eroeff_noga_K","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"AG",1,"konk_eroeff_noga_C","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"BL",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"GE",1,"konk_eroeff_noga_G","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"GL",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"LU",1,"konk_eroeff_noga_S","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"LU",2,"konk_eroeff_noga_I","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"SG",1,"konk_eroeff_noga_G","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
