Code MH neu recoded,noga_abschnitt_long
K010,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN
K011,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN
K012,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN
K013,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN
K014,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN
K015,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN
K016,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN
K017,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN
K018,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN
K019,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN
K020,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN
L010,GRUNDSTÜCKS- UND WOHNUNGSWESEN
M010,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M011,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M012,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M013,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M014,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M015,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M016,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M017,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M018,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M019,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M020,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M021,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M022,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M023,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M024,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M025,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
M026,"ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN"
N010,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
N011,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
N012,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
N013,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
N014,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
N015,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
N016,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
N017,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
N018,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
N019,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
N020,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
N021,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
